ds,y
2024-12-30,922.21
2024-12-31,916.27
2025-01-02,909.81
2025-01-03,916.58
2025-01-06,922.71
2025-01-07,921.37
2025-01-08,927.37
2025-01-10,936.94
2025-01-13,924.7
2025-01-14,917.23
2025-01-15,923.5
2025-01-16,919.75
2025-01-17,943.19
2025-01-21,947.73
2025-01-22,944.7
2025-01-23,942.16
2025-01-24,939.68
2025-01-27,965.25
2025-01-28,958.67
2025-01-29,964.02
2025-01-30,979.01
2025-01-31,979.88
2025-02-03,1005.83
2025-02-04,1021.86
2025-02-05,1042.88
2025-02-06,1050.99
2025-02-07,1043.81
2025-02-10,1061.92
2025-02-11,1058.34
2025-02-12,1065.12
2025-02-13,1076.86
2025-02-14,1071.85
2025-02-18,1056.03
2025-02-19,1062.54
2025-02-20,1034.83
2025-02-21,1035.03
2025-02-24,1035.6
2025-02-25,1055.66
2025-02-26,1031.97
2025-02-27,1021.71
2025-02-28,1048.61
2025-03-03,1046.85
2025-03-04,1036.87
2025-03-05,1047.75
2025-03-06,1026.62
2025-03-07,964.31
2025-03-10,934.41
2025-03-11,930.49
2025-03-12,927.08
2025-03-13,890.62
2025-03-14,903.92
2025-03-17,916.61
2025-03-18,898.05
2025-03-19,904.05
2025-03-20,895.4
2025-03-21,909.26
2025-03-24,926.04
2025-03-25,930.26
2025-03-26,929.75
2025-03-27,938.75
2025-03-28,929.66
2025-03-31,945.78
2025-04-01,954.4
2025-04-02,965.08
2025-04-03,967.08
2025-04-04,916.48
2025-04-07,908.13
2025-04-08,908.75
2025-04-09,965.19
2025-04-10,964.31
2025-04-11,963.41
2025-04-14,979.32
2025-04-15,976.92
2025-04-16,967.75
2025-04-17,994.5
2025-04-21,957.77
2025-04-22,979.23
2025-04-23,975.84
2025-04-24,975.48
2025-04-25,977.16
2025-04-28,978.54
2025-04-29,991.7
2025-04-30,994.5
2025-05-01,999.04
2025-05-02,1008.3
2025-05-05,1014.89
2025-05-06,1010.5
2025-05-07,1007.15
2025-05-08,1007.71
2025-05-09,1008.09
2025-05-12,1016.15
2025-05-13,999.03
2025-05-14,991.54
2025-05-15,1010.47
2025-05-16,1025.83
2025-05-19,1034.34
2025-05-20,1036.82
2025-05-21,1025.3
2025-05-22,1018.13
2025-05-23,1008.5
